Z;inv (ohm.m)
-1047.25;183.08
-753.57;169.61
-508.83;151.97
-304.88;134.72
-134.92;119.51
6.71;106.64
124.74;95.98
229;86.72
327.36;78.1
420.15;70.06
507.69;62.53
590.27;55.47
668.18;48.86
741.68;42.7
811.02;37
876.43;31.76
938.14;27.03
996.36;22.8
1051.28;19.08
1103.1;15.87
1151.98;13.14
1198.09;10.86
1241.6;9
1282.64;7.5
1321.36;6.33
1357.89;5.44
1392.34;4.82
1424.85;4.43
1455.52;4.28
1484.46;4.39
1511.75;4.82
1537.5;5.65
1562.5;7.1
1587.5;9.6
1612.5;13.88
1637.5;20.97
1662.5;31.74
1687.5;44.01
